2025, Liverpool, Arne Slot
2024, Manchester City, Pep Guardiola
2023, Manchester City, Pep Guardiola
2022, Manchester City, Pep Guardiola
2021, Manchester City, Pep Guardiola
2020, Liverpool, Jürgen Klopp
2019, Manchester City, Pep Guardiola
2018, Manchester City, Pep Guardiola
2017, Chelsea, Antonio Conte
2016, Leicester City, Claudio Ranieri
2015, Chelsea, José Mourinho
2014, Manchester City, Manuel Pellegrini
2013, Manchester United, Alex Ferguson
2012, Manchester City, Roberto Mancini
2011, Manchester United, Alex Ferguson
2010, Chelsea, Carlo Ancelotti
2009, Manchester United, Alex Ferguson
2008, Manchester United, Alex Ferguson
2007, Manchester United, Alex Ferguson
2006, Chelsea FC, José Mourinho
2005, Chelsea FC, José Mourinho
2004, Arsenal, Arsène Wenger
2003, Manchester United, Alex Ferguson
2002, Arsenal, Arsène Wenger
2001, Manchester United, Alex Ferguson
2000, Manchester United, Alex Ferguson
1999, Manchester United, Alex Ferguson
1998, Arsenal, Arsène Wenger
1997, Manchester United, Alex Ferguson
1996, Manchester United, Alex Ferguson
1995, Blackburn Rovers, Kenny Dalglish
1994, Manchester United, Alex Ferguson
1993, Manchester United, Alex Ferguson
